date,municipality,total_cases,active_cases,new_cases
5/11/2020,Bedford,224,23,1
5/11/2020,Briarcliff Manor,85,8,0
5/11/2020,Bronxville,62,4,0
5/11/2020,Buchanan,34,4,0
5/11/2020,Cortlandt,717,133,5
5/11/2020,Croton-on-Hudson,150,7,0
5/11/2020,Dobbs Ferry,292,60,0
5/11/2020,Eastchester,431,34,1
5/11/2020,Elmsford,195,28,2
5/11/2020,Greenburgh,1067,94,3
5/11/2020,Harrison,371,31,2
5/11/2020,Hastings-on-Hudson,110,3,0
5/11/2020,Irvington,77,7,0
5/11/2020,Larchmont,62,2,NA
5/11/2020,Lewisboro,93,19,1
5/11/2020,Mamaroneck Town,164,12,0
5/11/2020,Mamaroneck Village,362,44,0
5/11/2020,Mount Kisco,251,41,0
5/11/2020,Mount Pleasant,536,34,0
5/11/2020,Mount Vernon,2527,228,6
5/11/2020,New Castle,167,8,1
5/11/2020,New Rochelle,2745,233,6
5/11/2020,North Castle,185,15,0
5/11/2020,North Salem,112,27,0
5/11/2020,Ossining Town,143,9,2
5/11/2020,Ossining Village,975,115,2
5/11/2020,Peekskill,804,163,4
5/11/2020,Pelham,162,9,0
5/11/2020,Pelham Manor,102,2,NA
5/11/2020,Pleasantville,108,6,0
5/11/2020,Port Chester,1091,165,3
5/11/2020,Pound Ridge,25,1,0
5/11/2020,Rye Brook,169,14,4
5/11/2020,Rye City,184,12,3
5/11/2020,Scarsdale,345,7,1
5/11/2020,Sleepy Hollow,346,34,1
5/11/2020,Somers,220,43,1
5/11/2020,Tarrytown,267,30,0
5/11/2020,Tuckahoe,127,7,1
5/11/2020,White Plains,1659,204,8
5/11/2020,Yonkers,6484,622,16
5/11/2020,Yorktown,560,34,2
5/11/2020,Totals,24878,2581,76
5/11/2020,Unknown,1449,NA,NA
5/12/2020,Ardsley,88,5,0
5/12/2020,Bedford,226,23,2
5/12/2020,Briarcliff Manor,85,8,0
5/12/2020,Bronxville,62,2,0
5/12/2020,Buchanan,34,2,0
5/12/2020,Cortlandt,725,109,8
5/12/2020,Croton-on-Hudson,152,7,2
5/12/2020,Dobbs Ferry,293,56,1
5/12/2020,Eastchester,432,30,1
5/12/2020,Elmsford,191,36,0
5/12/2020,Greenburgh,1070,84,3
5/12/2020,Harrison,373,32,2
5/12/2020,Hastings-on-Hudson,110,3,0
5/12/2020,Irvington,77,7,0
5/12/2020,Larchmont,64,4,2
5/12/2020,Lewisboro,93,16,0
5/12/2020,Mamaroneck Town,164,11,0
5/12/2020,Mamaroneck Village,365,42,3
5/12/2020,Mount Kisco,251,40,0
5/12/2020,Mount Pleasant,536,29,0
5/12/2020,Mount Vernon,2545,223,18
5/12/2020,New Castle,167,8,0
5/12/2020,New Rochelle,2760,221,15
5/12/2020,North Castle,187,15,2
5/12/2020,North Salem,115,26,3
5/12/2020,Ossining Town,144,9,NA
5/12/2020,Ossining Village,981,108,6
5/12/2020,Peekskill,812,149,8
5/12/2020,Pelham,162,9,0
5/12/2020,Pelham Manor,102,1,0
5/12/2020,Pleasantville,108,6,0
5/12/2020,Port Chester,1099,164,8
5/12/2020,Pound Ridge,25,1,0
5/12/2020,Rye Brook,171,16,2
5/12/2020,Rye City,185,11,1
5/12/2020,Scarsdale,345,6,0
5/12/2020,Sleepy Hollow,350,34,4
5/12/2020,Somers,224,41,4
5/12/2020,Tarrytown,268,24,1
5/12/2020,Tuckahoe,127,7,0
5/12/2020,White Plains,1667,183,8
5/12/2020,Yonkers,6522,570,38
5/12/2020,Yorktown,564,33,4
5/12/2020,Totals,25021,2411,147
5/12/2020,Unknown,1463,NA,NA
5/13/2020,Ardsley,89,5,1
5/13/2020,Bedford,229,24,3
5/13/2020,Briarcliff Manor,88,10,3
5/13/2020,Bronxville,62,2,0
5/13/2020,Buchanan,34,2,0
5/13/2020,Cortlandt,736,105,11
5/13/2020,Croton-on-Hudson,156,9,4
5/13/2020,Dobbs Ferry,293,51,0
5/13/2020,Eastchester,434,30,2
5/13/2020,Elmsford,189,29,0
5/13/2020,Greenburgh,1072,75,2
5/13/2020,Harrison,376,28,3
5/13/2020,Hastings-on-Hudson,110,2,0
5/13/2020,Irvington,77,5,0
5/13/2020,Larchmont,64,4,0
5/13/2020,Lewisboro,93,12,0
5/13/2020,Mamaroneck Town,165,10,1
5/13/2020,Mamaroneck Village,369,42,4
5/13/2020,Mount Kisco,252,38,1
5/13/2020,Mount Pleasant,541,27,5
5/13/2020,Mount Vernon,2558,209,13
5/13/2020,New Castle,167,7,0
5/13/2020,New Rochelle,2785,218,25
5/13/2020,North Castle,188,14,1
5/13/2020,North Salem,115,23,0
5/13/2020,Ossining Town,146,9,2
5/13/2020,Ossining Village,984,98,3
5/13/2020,Peekskill,825,141,13
5/13/2020,Pelham,162,9,0
5/13/2020,Pelham Manor,102,1,0
5/13/2020,Pleasantville,109,7,1
5/13/2020,Port Chester,1113,151,14
5/13/2020,Pound Ridge,26,2,1
5/13/2020,Rye Brook,171,5,0
5/13/2020,Rye City,185,11,0
5/13/2020,Scarsdale,347,5,2
5/13/2020,Sleepy Hollow,356,35,6
5/13/2020,Somers,227,39,3
5/13/2020,Tarrytown,268,22,0
5/13/2020,Tuckahoe,127,3,0
5/13/2020,White Plains,1671,147,4
5/13/2020,Yonkers,6565,526,43
5/13/2020,Yorktown,566,32,2
5/13/2020,Totals,25192,2234,173
5/13/2020,Unknown,1479,NA,NA
5/14/2020,Ardsley,89,5,0
5/14/2020,Bedford,229,20,0
5/14/2020,Briarcliff Manor,88,9,0
5/14/2020,Bronxville,62,1,0
5/14/2020,Buchanan,34,2,0
5/14/2020,Cortlandt,737,93,1
5/14/2020,Croton-on-Hudson,158,9,2
5/14/2020,Dobbs Ferry,293,47,0
5/14/2020,Eastchester,435,31,1
5/14/2020,Elmsford,189,28,0
5/14/2020,Greenburgh,1074,70,2
5/14/2020,Harrison,376,24,0
5/14/2020,Hastings-on-Hudson,110,2,0
5/14/2020,Irvington,77,2,0
5/14/2020,Larchmont,64,4,0
5/14/2020,Lewisboro,94,12,1
5/14/2020,Mamaroneck Town,166,9,1
5/14/2020,Mamaroneck Village,370,34,1
5/14/2020,Mount Kisco,254,36,2
5/14/2020,Mount Pleasant,541,22,0
5/14/2020,Mount Vernon,2558,192,0
5/14/2020,New Castle,167,6,0
5/14/2020,New Rochelle,2788,187,3
5/14/2020,North Castle,188,12,0
5/14/2020,North Salem,115,20,0
5/14/2020,Ossining Town,146,9,0
5/14/2020,Ossining Village,986,95,2
5/14/2020,Peekskill,830,128,5
5/14/2020,Pelham,162,9,0
5/14/2020,Pelham Manor,102,1,0
5/14/2020,Pleasantville,109,5,0
5/14/2020,Port Chester,1113,135,0
5/14/2020,Pound Ridge,26,1,0
5/14/2020,Rye Brook,171,12,0
5/14/2020,Rye City,185,10,0
5/14/2020,Scarsdale,347,5,0
5/14/2020,Sleepy Hollow,356,31,0
5/14/2020,Somers,227,36,0
5/14/2020,Tarrytown,268,22,0
5/14/2020,Tuckahoe,127,3,0
5/14/2020,White Plains,1672,128,1
