date,municipality,total_cases,active_cases,new_cases
2020-05-07,Hastings-on-Hudson,114,5,3
2020-05-07,Irvington,76,8,2
2020-05-07,Larchmont,62,3,2
2020-05-07,Lewisboro,93,18,0
2020-05-07,Mamaroneck Town,160,13,6
2020-05-07,Mamaroneck Village,354,50,13
2020-05-07,Mount Kisco,236,40,7
2020-05-07,Mount Pleasant,527,44,6
2020-05-07,Mount Vernon,2478,270,62
2020-05-07,New Castle,165,15,3
2020-05-07,New Rochelle,2686,290,86
2020-05-07,North Castle,183,27,5
2020-05-07,North Salem,106,30,7
2020-05-07,Ossining Town,140,13,5
2020-05-07,Ossining Village,949,129,17
2020-05-07,Peekskill,768,166,32
2020-05-07,Pelham,158,8,4
2020-05-07,Pelham Manor,101,1,9
2020-05-07,Pleasantville,108,8,6
2020-05-07,Port Chester,1060,185,33
2020-05-07,Pound Ridge,25,1,1
2020-05-07,Rye Brook,163,12,2
2020-05-07,Rye City,178,10,4
2020-05-07,Scarsdale,345,9,7
2020-05-07,Sleepy Hollow,338,44,10
2020-05-07,Somers,209,41,6
2020-05-07,Tarrytown,261,38,12
2020-05-07,Tuckahoe,125,8,5
2020-05-07,White Plains,1609,219,60
2020-05-07,Yonkers,6370,797,253
2020-05-07,Yorktown,547,41,12
2020-05-07,Totals,24293,2997,760
2020-05-07,Unknown,1901,NA,NA
2020-05-11,Bedford,224,23,1
2020-05-11,Briarcliff Manor,85,8,0
2020-05-11,Bronxville,62,4,0
2020-05-11,Buchanan,34,4,0
2020-05-11,Cortlandt,717,133,5
2020-05-11,Croton-on-Hudson,150,7,0
2020-05-11,Dobbs Ferry,292,60,0
2020-05-11,Eastchester,431,34,1
2020-05-11,Elmsford,195,28,2
2020-05-11,Greenburgh,1067,94,3
2020-05-11,Harrison,371,31,2
2020-05-11,Hastings-on-Hudson,110,3,0
2020-05-11,Irvington,77,7,0
2020-05-11,Larchmont,62,2,NA
2020-05-11,Lewisboro,93,19,1
2020-05-11,MamaroneckTown,164,12,0
2020-05-11,Mamaroneck Village,362,44,0
2020-05-11,Mount Kisco,251,41,0
2020-05-11,Mount Pleasant,536,34,0
2020-05-11,Mount Vernon,2527,228,6
2020-05-11,New Castle,167,8,1
2020-05-11,New Rochelle,2745,233,6
2020-05-11,North Castle,185,15,0
2020-05-11,North Salem,112,27,0
2020-05-11,Ossining Town,143,9,2
2020-05-11,Ossining Village,975,115,2
2020-05-11,Peekskill,804,163,4
2020-05-11,Pelham,162,9,0
2020-05-11,Pelham Manor,102,2,NA
2020-05-11,Pleasantville,108,6,0
2020-05-11,Port Chester,1091,165,3
2020-05-11,Pound Ridge,25,1,0
2020-05-11,Rye Brook,169,14,4
2020-05-11,Rye City,184,12,3
2020-05-11,Scarsdale,345,7,1
2020-05-11,Sleepy Hollow,346,34,1
2020-05-11,Somers,220,43,1
2020-05-11,Tarrytown,267,30,0
2020-05-11,Tuckahoe,127,7,1
2020-05-11,White Plains,1659,204,8
2020-05-11,Yonkers,6484,622,16
2020-05-11,Yorktown,560,34,2
2020-05-11,Totals,24878,2581,76
2020-05-11,Unknown,1449,NA,NA
2020-05-12,Bedford,226,23,2
2020-05-12,Briarcliff Manor,85,8,0
2020-05-12,Bronxville,62,2,0
2020-05-12,Buchanan,34,2,0
2020-05-12,Cortlandt,725,109,8
2020-05-12,CrotononHudson =,152,7,2
2020-05-12,Dobbs Ferry,293,56,1
2020-05-12,Eastchester,432,30,1
2020-05-12,Elmsford,191,36,0
2020-05-12,Greenburgh,1070,84,3
2020-05-12,Harrison,373,32,2
2020-05-12,Hastings-on-Hudson,110,3,0
2020-05-12,Irvington,77,7,0
2020-05-12,Larchmont,64,4,2
2020-05-12,Lewisboro,93,16,0
2020-05-12,MamaroneckTown,164,11,0
2020-05-12,Mamaroneck Village,365,42,3
2020-05-12,Mount Kisco,251,40,0
2020-05-12,Mount Pleasant,536,29,0
2020-05-12,Mount Vernon,2545,223,18
2020-05-12,New Castle,167,8,0
2020-05-12,New Rochelle,2760,221,15
2020-05-12,North Castle,187,15,2
2020-05-12,North Salem,115,26,3
2020-05-12,Ossining Town,144,9,NA
2020-05-12,Ossining Village,981,108,6
2020-05-12,Peekskill,812,149,8
2020-05-12,Pelham,162,9,0
2020-05-12,Pelham Manor,102,1,0
2020-05-12,Pleasantville,108,6,0
2020-05-12,Port Chester,1099,164,8
2020-05-12,Pound Ridge,25,1,0
2020-05-12,Rye Brook,171,16,2
2020-05-12,Rye City,185,11,1
2020-05-12,Scarsdale,345,6,0
2020-05-12,Sleepy Hollow,350,34,4
2020-05-12,Somers,224,41,4
2020-05-12,Tarrytown,268,24,1
2020-05-12,Tuckahoe,127,7,0
2020-05-12,White Plains,1667,183,8
2020-05-12,Yonkers,6522,570,38
2020-05-12,Yorktown,564,33,4
2020-05-12,Totals,25021,2411,147
2020-05-12,Unknown,1463,NA,NA
2020-05-13,Bedford,229,24,3
2020-05-13,Briarcliff Manor,88,10,3
2020-05-13,Bronxville,62,2,0
2020-05-13,Buchanan,34,2,0
2020-05-13,Cortlandt,736,105,11
2020-05-13,CrotononHudson =,156,9,4
2020-05-13,Dobbs Ferry,293,51,0
2020-05-13,Eastchester,434,30,2
2020-05-13,Elmsford,189,29,0
2020-05-13,Greenburgh,1072,75,2
2020-05-13,Harrison,376,28,3
2020-05-13,Hastings-on-Hudson,110,2,0
2020-05-13,Irvington,77,5,0
2020-05-13,Larchmont,64,4,0
2020-05-13,Lewisboro,93,12,0
2020-05-13,MamaroneckTown,165,10,1
2020-05-13,Mamaroneck Village,369,42,4
2020-05-13,Mount Kisco,252,38,1
2020-05-13,Mount Pleasant,541,27,5
2020-05-13,Mount Vernon,2558,209,13
2020-05-13,New Castle,167,7,0
2020-05-13,New Rochelle,2785,218,25
2020-05-13,North Castle,188,14,1
2020-05-13,North Salem,115,23,0
2020-05-13,Ossining Town,146,9,2
2020-05-13,Ossining Village,984,98,3
2020-05-13,Peekskill,825,141,13
2020-05-13,Pelham,162,9,0
2020-05-13,Pelham Manor,102,1,0
2020-05-13,Pleasantville,109,7,1
2020-05-13,Port Chester,1113,151,14
2020-05-13,Pound Ridge,26,2,1
2020-05-13,Rye Brook i,171,5,0
2020-05-13,Rye City,185,11,0
2020-05-13,Scarsdale,347,5,2
2020-05-13,Sleepy Hollow,356,35,6
2020-05-13,Somers,227,39,3
2020-05-13,Tarrytown,268,22,0
2020-05-13,Tuckahoe,127,3,0
2020-05-13,White Plains,1671,147,4
2020-05-13,Yonkers,6565,526,43
2020-05-13,Yorktown,566,32,2
2020-05-13,Totals,25192,2234,173
2020-05-13,Unknown,1479,NA,NA
2020-05-14,Bedford,229,20,0
2020-05-14,Briarcliff Manor,88,9,0
2020-05-14,Bronxville,62,1,0
2020-05-14,Buchanan,34,2,0
2020-05-14,Cortlandt,737,93,1
2020-05-14,Croton-on-Hudson,158,9,2
2020-05-14,Dobbs Ferry,293,47,0
2020-05-14,Eastchester,435,31,1
2020-05-14,Elmsford,189,28,0
2020-05-14,Greenburgh,1074,70,2
2020-05-14,Harrison,376,24,0
2020-05-14,Hastings-on-Hudson,110,2,0
2020-05-14,Irvington,77,2,0
2020-05-14,Larchmont,64,4,0
2020-05-14,Lewisboro,94,12,1
2020-05-14,MamaroneckTown,166,9,1
2020-05-14,Mamaroneck Village,370,34,1
2020-05-14,Mount Kisco,254,36,2
2020-05-14,Mount Pleasant,541,22,0
2020-05-14,Mount Vernon,2558,192,0
2020-05-14,New Castle,167,6,0
2020-05-14,New Rochelle,2788,187,3
2020-05-14,North Castle,188,12,0
2020-05-14,North Salem,115,20,0
2020-05-14,Ossining Town,146,9,0
2020-05-14,Ossining Village,986,95,2
2020-05-14,Peekskill,830,128,5
2020-05-14,Pelham,162,9,0
2020-05-14,Pelham Manor,102,1,0
2020-05-14,Pleasantville,109,5,0
2020-05-14,Port Chester,1113,135,0
2020-05-14,Pound Ridge,26,1,0
2020-05-14,Rye Brook,171,12,0
2020-05-14,Rye City,185,10,0
2020-05-14,Scarsdale,347,5,0
2020-05-14,Sleepy Hollow,356,31,0
2020-05-14,Somers,227,36,0
2020-05-14,Tarrytown,268,22,0
2020-05-14,Tuckahoe,127,3,0
2020-05-14,White Plains,1672,128,1
2020-05-14,Yonkers,6576,469,11
2020-05-14,Yorktown,567,28,1
2020-05-14,Totals,25226,2004,34
2020-05-14,Unknown,1484,NA,NA
2020-05-18,Ardsley,90,6,0
2020-05-18,Bedford,232,14,1
2020-05-18,Briarcliff Manor,88,7,0
2020-05-18,Bronxville,62,1,0
2020-05-18,Buchanan,34,2,0
2020-05-18,Cortlandt,752,58,4
2020-05-18,CrotononHudson =,163,11,1
2020-05-18,Dobbs Ferry,293,39,0
2020-05-18,Eastchester,441,27,0
2020-05-18,Elmsford,195,23,0
2020-05-18,Greenburgh,1091,58,1
2020-05-18,Harrison,384,26,1
2020-05-18,Hastings-on-Hudson,112,2,0
2020-05-18,Irvington,77,1,0
2020-05-18,Larchmont,64,3,0
2020-05-18,Lewisboro,95,10,0
2020-05-18,MamaroneckTown,166,6,0
2020-05-18,Mamaroneck Village,376,21,2
2020-05-18,Mount Kisco,266,36,4
2020-05-18,Mount Pleasant,547,19,2
2020-05-18,Mount Vernon,2591,152,5
2020-05-18,New Castle,174,9,3
2020-05-18,New Rochelle,2832,177,8
2020-05-18,North Castle,190,7,0
2020-05-18,North Salem,118,14,0
2020-05-18,Ossining Town,147,8,1
2020-05-18,Ossining Village,1002,73,2
2020-05-18,Peekskill,861,120,8
2020-05-18,Pelham,162,5,0
2020-05-18,Pelham Manor,102,1,0
2020-05-18,Pleasantville,114,7,1
2020-05-18,Port Chester,1163,130,2
2020-05-18,Pound Ridge,26,1,0
2020-05-18,Rye Brook,174,13,1
2020-05-18,Rye City,186,9,1
2020-05-18,Scarsdale,348,5,0
2020-05-18,Sleepy Hollow,362,29,0
2020-05-18,Somers,263,54,30
2020-05-18,Tarrytown,269,14,1
2020-05-18,Tuckahoe,128,2,0
2020-05-18,White Plains,1711,120,6
2020-05-18,Yonkers,6659,362,7
2020-05-18,Yorktown,583,35,2
2020-05-18,Totals,25693,1717,91
2020-05-18,Unknown,1526,NA,NA
2020-05-19,Bedford,232,14,0
