date,metric,value
2020-06-11,total_cases,34105
2020-06-11,total_deaths,1531
2020-06-11,new_cases,30
2020-06-11,new_deaths,1
2020-06-12,total_cases,34174
2020-06-12,total_deaths,1533
2020-06-12,new_cases,69
2020-06-12,new_deaths,2
2020-06-13,total_cases,34252
2020-06-13,total_deaths,1535
2020-06-13,new_cases,78
2020-06-13,new_deaths,2
2020-06-14,total_cases,34289
2020-06-14,total_deaths,1535
2020-06-14,new_cases,37
2020-06-14,new_deaths,0
2020-06-15,total_cases,34326
2020-06-15,total_deaths,1535
2020-06-15,new_cases,37
2020-06-15,new_deaths,0
2020-06-16,total_cases,34357
2020-06-16,total_deaths,1537
2020-06-16,new_cases,31
2020-06-16,new_deaths,2
2020-06-17,total_cases,34384
2020-06-17,total_deaths,1539
2020-06-17,new_cases,27
2020-06-17,new_deaths,2
2020-06-18,total_cases,34408
2020-06-18,total_deaths,1542
2020-06-18,new_cases,24
2020-06-18,new_deaths,3
2020-06-19,total_cases,34454
2020-06-19,total_deaths,1542
2020-06-19,new_cases,46
2020-06-19,new_deaths,0
2020-06-20,total_cases,34485
2020-06-20,total_deaths,1544
2020-06-20,new_cases,31
2020-06-20,new_deaths,2
2020-06-21,total_cases,34520
2020-06-21,total_deaths,1545
2020-06-21,new_cases,35
2020-06-21,new_deaths,1
2020-06-22,total_cases,34556
2020-06-22,total_deaths,1546
2020-06-22,new_cases,36
2020-06-22,new_deaths,1
2020-06-23,total_cases,34580
2020-06-23,total_deaths,1547
2020-06-23,new_cases,24
2020-06-23,new_deaths,1
2020-06-24,total_cases,34596
2020-06-24,total_deaths,1548
2020-06-24,new_cases,16
2020-06-24,new_deaths,1
2020-06-25,total_cases,34641
2020-06-25,total_deaths,1549
2020-06-25,new_cases,45
2020-06-25,new_deaths,1
2020-06-26,total_cases,34699
2020-06-26,total_deaths,1551
2020-06-26,new_cases,58
2020-06-26,new_deaths,2
2020-06-27,total_cases,34747
2020-06-27,total_deaths,1552
2020-06-27,new_cases,48
2020-06-27,new_deaths,1
2020-06-28,total_cases,34779
2020-06-28,total_deaths,1554
2020-06-28,new_cases,32
2020-06-28,new_deaths,2
2020-06-29,total_cases,34797
2020-06-29,total_deaths,1557
2020-06-29,new_cases,18
2020-06-29,new_deaths,3
2020-06-30,total_cases,34837
2020-06-30,total_deaths,1558
2020-06-30,new_cases,40
2020-06-30,new_deaths,1
2020-07-01,total_cases,34865
2020-07-01,total_deaths,1558
2020-07-01,new_cases,28
2020-07-01,new_deaths,0
2020-07-02,total_cases,34911
2020-07-02,total_deaths,1559
2020-07-02,new_cases,46
2020-07-02,new_deaths,1
2020-07-03,total_cases,34979
2020-07-03,total_deaths,1558
2020-07-03,new_cases,68
2020-07-03,new_deaths,-1
2020-07-04,total_cases,35019
2020-07-04,total_deaths,1558
2020-07-04,new_cases,40
2020-07-04,new_deaths,0
2020-07-05,total_cases,35042
2020-07-05,total_deaths,1560
2020-07-05,new_cases,23
2020-07-05,new_deaths,2
2020-07-06,total_cases,35083
2020-07-06,total_deaths,1560
2020-07-06,new_cases,41
2020-07-06,new_deaths,0
2020-07-07,total_cases,35105
2020-07-07,total_deaths,1562
2020-07-07,new_cases,22
2020-07-07,new_deaths,2
2020-07-08,total_cases,35153
2020-07-08,total_deaths,1563
2020-07-08,new_cases,48
2020-07-08,new_deaths,1
2020-07-09,total_cases,35182
2020-07-09,total_deaths,1564
2020-07-09,new_cases,29
2020-07-09,new_deaths,1
2020-07-10,total_cases,35225
2020-07-10,total_deaths,1565
2020-07-10,new_cases,43
2020-07-10,new_deaths,1
2020-07-11,total_cases,35259
2020-07-11,total_deaths,1565
2020-07-11,new_cases,34
2020-07-11,new_deaths,0
2020-07-12,total_cases,35296
2020-07-12,total_deaths,1567
2020-07-12,new_cases,37
2020-07-12,new_deaths,2
2020-07-13,total_cases,35326
2020-07-13,total_deaths,1567
2020-07-13,new_cases,30
2020-07-13,new_deaths,0
2020-07-14,total_cases,35365
2020-07-14,total_deaths,1567
2020-07-14,new_cases,39
2020-07-14,new_deaths,0
2020-07-15,total_cases,35393
2020-07-15,total_deaths,1568
2020-07-15,new_cases,28
2020-07-15,new_deaths,1
2020-07-16,total_cases,35421
2020-07-16,total_deaths,1568
2020-07-16,new_cases,28
2020-07-16,new_deaths,0
2020-07-17,total_cases,35462
2020-07-17,total_deaths,1568
2020-07-17,new_cases,41
2020-07-17,new_deaths,0
2020-07-18,total_cases,35502
2020-07-18,total_deaths,1569
2020-07-18,new_cases,40
2020-07-18,new_deaths,1
2020-07-19,total_cases,35514
2020-07-19,total_deaths,1572
2020-07-19,new_cases,12
2020-07-19,new_deaths,3
2020-07-20,total_cases,35550
2020-07-20,total_deaths,1572
2020-07-20,new_cases,36
2020-07-20,new_deaths,0
2020-07-21,total_cases,35586
2020-07-21,total_deaths,1572
2020-07-21,new_cases,36
2020-07-21,new_deaths,0
2020-07-22,total_cases,35635
2020-07-22,total_deaths,1574
2020-07-22,new_cases,49
2020-07-22,new_deaths,2
2020-07-23,total_cases,35666
2020-07-23,total_deaths,1576
2020-07-23,new_cases,31
2020-07-23,new_deaths,2
2020-07-24,total_cases,35699
2020-07-24,total_deaths,1576
2020-07-24,new_cases,33
2020-07-24,new_deaths,0
2020-07-25,total_cases,35737
2020-07-25,total_deaths,1576
2020-07-25,new_cases,38
2020-07-25,new_deaths,0
2020-07-26,total_cases,35776
2020-07-26,total_deaths,1576
2020-07-26,new_cases,39
2020-07-26,new_deaths,0
2020-07-27,total_cases,35798
2020-07-27,total_deaths,1577
2020-07-27,new_cases,22
2020-07-27,new_deaths,1
2020-07-28,total_cases,35837
2020-07-28,total_deaths,1577
2020-07-28,new_cases,39
2020-07-28,new_deaths,0
2020-07-29,total_cases,35873
2020-07-29,total_deaths,1577
2020-07-29,new_cases,36
2020-07-29,new_deaths,0
2020-07-30,total_cases,35912
2020-07-30,total_deaths,1578
2020-07-30,new_cases,39
2020-07-30,new_deaths,1
2020-07-31,total_cases,35932
2020-07-31,total_deaths,1578
2020-07-31,new_cases,20
2020-07-31,new_deaths,0
2020-08-01,total_cases,35973
2020-08-01,total_deaths,1578
2020-08-01,new_cases,41
2020-08-01,new_deaths,0
2020-08-02,total_cases,35997
2020-08-02,total_deaths,1579
2020-08-02,new_cases,24
2020-08-02,new_deaths,1
2020-08-03,total_cases,36013
2020-08-03,total_deaths,1579
2020-08-03,new_cases,16
2020-08-03,new_deaths,0
2020-08-04,total_cases,36048
2020-08-04,total_deaths,1579
2020-08-04,new_cases,35
2020-08-04,new_deaths,0
2020-08-05,total_cases,36074
2020-08-05,total_deaths,1579
2020-08-05,new_cases,26
2020-08-05,new_deaths,0
2020-08-06,total_cases,36106
2020-08-06,total_deaths,1447
2020-08-06,new_cases,32
2020-08-06,new_deaths,-132
2020-08-07,total_cases,36135
2020-08-07,total_deaths,1447
2020-08-07,new_cases,29
2020-08-07,new_deaths,0
