date,municipality,total_cases,active_cases,new_cases
5/13/2020,Pound Ridge,26,2,1
5/13/2020,Rye Brook,171,5,0
5/13/2020,Rye City,185,11,0
5/13/2020,Scarsdale,347,5,2
5/13/2020,Sleepy Hollow,356,35,6
5/13/2020,Somers,227,39,3
5/13/2020,Tarrytown,268,22,0
5/13/2020,Tuckahoe,127,3,0
5/13/2020,White Plains,1671,147,4
5/13/2020,Yonkers,6565,526,43
5/13/2020,Yorktown,566,32,2
5/13/2020,Totals,25192,2234,173
5/14/2020,Ardsley,89,5,0
5/14/2020,Bedford,229,20,0
5/14/2020,Briarcliff Manor,88,9,0
5/14/2020,Bronxville,62,1,0
5/14/2020,Buchanan,34,2,0
5/14/2020,Cortlandt,737,93,1
5/14/2020,Croton-on-Hudson,158,9,2
5/14/2020,Dobbs Ferry,293,47,0
5/14/2020,Eastchester,435,31,1
5/14/2020,Elmsford,189,28,0
5/14/2020,Greenburgh,1074,70,2
5/14/2020,Harrison,376,24,0
5/14/2020,Hastings-on-Hudson,110,2,0
5/14/2020,Irvington,77,2,0
5/14/2020,Larchmont,64,4,0
5/14/2020,Lewisboro,94,12,1
5/14/2020,Mamaroneck Town,166,9,1
5/14/2020,Mamaroneck Village,370,34,1
5/14/2020,Mount Kisco,254,36,2
5/14/2020,Mount Pleasant,541,22,0
5/14/2020,Mount Vernon,2558,192,0
5/14/2020,New Castle,167,6,0
5/14/2020,New Rochelle,2788,187,3
5/14/2020,North Castle,188,12,0
5/14/2020,North Salem,115,20,0
5/14/2020,Ossining Town,146,9,0
5/14/2020,Ossining Village,986,95,2
5/14/2020,Peekskill,830,128,5
5/14/2020,Pelham,162,9,0
5/14/2020,Pelham Manor,102,1,0
5/14/2020,Pleasantville,109,5,0
5/14/2020,Port Chester,1113,135,0
5/14/2020,Pound Ridge,26,1,0
5/14/2020,Rye Brook,171,12,0
5/14/2020,Rye City,185,10,0
5/14/2020,Scarsdale,347,5,0
5/14/2020,Sleepy Hollow,356,31,0
5/14/2020,Somers,227,36,0
5/14/2020,Tarrytown,268,22,0
5/14/2020,Tuckahoe,127,3,0
5/14/2020,White Plains,1672,128,1
5/14/2020,Yonkers,6576,469,11
5/14/2020,Yorktown,567,28,1
5/14/2020,Totals,25226,2004,34
5/18/2020,Ardsley,90,6,0
5/18/2020,Bedford,232,14,1
5/18/2020,Briarcliff Manor,88,7,0
5/18/2020,Bronxville,62,1,0
5/18/2020,Buchanan,34,2,0
5/18/2020,Cortlandt,752,58,4
5/18/2020,Croton-on-Hudson,163,11,1
5/18/2020,Dobbs Ferry,293,39,0
5/18/2020,Eastchester,441,27,0
5/18/2020,Elmsford,195,23,0
5/18/2020,Greenburgh,1091,58,1
5/18/2020,Harrison,384,26,1
5/18/2020,Hastings-on-Hudson,112,2,0
5/18/2020,Irvington,77,1,0
5/18/2020,Larchmont,64,3,0
5/18/2020,Lewisboro,95,10,0
5/18/2020,Mamaroneck Town,166,6,0
5/18/2020,Mamaroneck Village,376,21,2
5/18/2020,Mount Kisco,266,36,4
5/18/2020,Mount Pleasant,547,19,2
5/18/2020,Mount Vernon,2591,152,5
5/18/2020,New Castle,174,9,3
5/18/2020,New Rochelle,2832,177,8
5/18/2020,North Castle,190,7,0
5/18/2020,North Salem,118,14,0
5/18/2020,Ossining Town,147,8,1
5/18/2020,Ossining Village,1002,73,2
5/18/2020,Peekskill,861,120,8
5/18/2020,Pelham,162,5,0
5/18/2020,Pelham Manor,102,1,0
5/18/2020,Pleasantville,114,7,1
5/18/2020,Port Chester,1163,130,2
5/18/2020,Pound Ridge,26,1,0
5/18/2020,Rye Brook,174,13,1
5/18/2020,Rye City,186,9,1
5/18/2020,Scarsdale,348,5,0
5/18/2020,Sleepy Hollow,362,29,0
5/18/2020,Somers,263,54,30
5/18/2020,Tarrytown,269,14,1
5/18/2020,Tuckahoe,128,2,0
5/18/2020,White Plains,1711,120,6
5/18/2020,Yonkers,6659,362,7
5/18/2020,Yorktown,583,35,2
5/18/2020,Totals,25693,1717,91
5/19/2020,Ardsley,91,7,1
5/19/2020,Bedford,232,14,0
5/19/2020,Briarcliff Manor,90,8,2
5/19/2020,Bronxville,62,0,0
5/19/2020,Buchanan,34,2,0
5/19/2020,Cortlandt,764,63,12
5/19/2020,Croton-on-Hudson,165,10,2
5/19/2020,Dobbs Ferry,293,36,0
5/19/2020,Eastchester,443,23,2
5/19/2020,Elmsford,196,21,1
5/19/2020,Greenburgh,1094,46,3
5/19/2020,Harrison,385,27,1
5/19/2020,Hastings-on-Hudson,114,4,2
5/19/2020,Irvington,78,2,1
5/19/2020,Larchmont,64,3,0
5/19/2020,Lewisboro,95,3,0
5/19/2020,Mamaroneck Town,166,6,0
5/19/2020,Mamaroneck Village,376,18,0
5/19/2020,Mount Kisco,271,35,5
5/19/2020,Mount Pleasant,552,21,5
5/19/2020,Mount Vernon,2606,142,15
5/19/2020,New Castle,174,9,0
5/19/2020,New Rochelle,2844,175,12
5/19/2020,North Castle,192,8,2
5/19/2020,North Salem,118,14,0
5/19/2020,Ossining Town,148,7,1
5/19/2020,Ossining Village,1013,66,11
5/19/2020,Peekskill,869,108,8
5/19/2020,Pelham,162,4,0
5/19/2020,Pelham Manor,102,1,0
5/19/2020,Pleasantville,115,8,1
5/19/2020,Port Chester,1169,121,6
5/19/2020,Pound Ridge,26,1,0
5/19/2020,Rye Brook,175,12,1
5/19/2020,Rye City,196,18,10
5/19/2020,Scarsdale,350,5,2
5/19/2020,Sleepy Hollow,366,32,4
5/19/2020,Somers,265,54,2
5/19/2020,Tarrytown,269,11,0
5/19/2020,Tuckahoe,128,2,0
5/19/2020,White Plains,1720,107,9
5/19/2020,Yonkers,6692,338,33
5/19/2020,Yorktown,588,37,5
5/19/2020,Totals,25852,1629,159
5/20/2020,Ardsley,91,6,0
5/20/2020,Bedford,234,13,2
5/20/2020,Briarcliff Manor,91,6,1
5/20/2020,Bronxville,62,0,0
5/20/2020,Buchanan,34,2,0
5/20/2020,Cortlandt,770,56,6
5/20/2020,Croton-on-Hudson,167,11,2
5/20/2020,Dobbs Ferry,293,35,0
5/20/2020,Eastchester,443,22,0
5/20/2020,Elmsford,196,19,0
5/20/2020,Greenburgh,1094,35,0
5/20/2020,Harrison,385,25,0
5/20/2020,Hastings-on-Hudson,114,4,0
5/20/2020,Irvington,78,2,0
5/20/2020,Larchmont,64,3,0
5/20/2020,Lewisboro,95,2,0
5/20/2020,Mamaroneck Town,166,3,0
5/20/2020,Mamaroneck Village,378,18,2
5/20/2020,Mount Kisco,271,29,0
5/20/2020,Mount Pleasant,553,21,1
5/20/2020,Mount Vernon,2611,124,5
5/20/2020,New Castle,174,9,0
5/20/2020,New Rochelle,2852,161,8
5/20/2020,North Castle,192,5,0
5/20/2020,North Salem,121,8,3
5/20/2020,Ossining Town,149,5,1
5/20/2020,Ossining Village,1017,56,4
5/20/2020,Peekskill,883,105,14
5/20/2020,Pelham,162,3,0
5/20/2020,Pelham Manor,102,1,0
5/20/2020,Pleasantville,115,8,0
5/20/2020,Port Chester,1170,101,1
5/20/2020,Pound Ridge,26,0,0
5/20/2020,Rye Brook,176,13,1
5/20/2020,Rye City,198,19,2
5/20/2020,Scarsdale,350,5,0
5/20/2020,Sleepy Hollow,366,28,0
5/20/2020,Somers,298,81,33
5/20/2020,Tarrytown,270,11,1
5/20/2020,Tuckahoe,128,2,0
5/20/2020,White Plains,1723,95,3
5/20/2020,Yonkers,6705,302,13
5/20/2020,Yorktown,600,46,12
5/20/2020,Totals,25967,1500,115
5/21/2020,Ardsley,92,7,4
5/21/2020,Bedford,232,11,0
5/21/2020,Briarcliff Manor,92,6,2
5/21/2020,Bronxville,62,0,0
5/21/2020,Buchanan,33,1,0
5/21/2020,Cortlandt,762,47,0
5/21/2020,Croton-on-Hudson,166,10,0
5/21/2020,Dobbs Ferry,293,35,0
5/21/2020,Eastchester,439,15,1
5/21/2020,Elmsford,193,13,1
5/21/2020,Greenburgh,1085,30,1
