date,municipality,total_cases,active_cases,new_cases
2020-05-01,Totals,20417,NA,NA
2020-05-05,Ardsley,95,15,3
2020-05-05,Bedford,262,73,4
2020-05-05,Briarcliff Manor,98,21,5
2020-05-05,Bronxville,70,12,2
2020-05-05,Buchanan,37,9,0
2020-05-05,Cortlandt,726,201,12
2020-05-05,Croton-on-Hudson,161,36,3
2020-05-05,Dobbs Ferry,266,54,2
2020-05-05,Eastchester,444,67,8
2020-05-05,Elmsford,188,37,2
2020-05-05,Greenburgh,1089,183,19
2020-05-05,Harrison,384,64,12
2020-05-05,Hastings-on-Hudson,121,12,1
2020-05-05,Irvington,84,17,0
2020-05-05,Larchmont,67,8,1
2020-05-05,Lewisboro,101,25,1
2020-05-05,Mamaroneck Town,175,32,6
2020-05-05,Mamaroneck Village,359,77,9
2020-05-05,Mount Kisco,264,71,4
2020-05-05,Mount Pleasant,577,96,7
2020-05-05,Mount Vernon,2467,377,24
2020-05-05,New Castle,216,73,8
2020-05-05,New Rochelle,2714,450,18
2020-05-05,North Castle,202,59,8
2020-05-05,North Salem,123,43,3
2020-05-05,Ossining Town,147,33,5
2020-05-05,Ossining Village,954,158,21
2020-05-05,Peekskill,764,188,13
2020-05-05,Pelham,170,19,4
2020-05-05,Pelham Manor,117,17,1
2020-05-05,Pleasantville,120,25,1
2020-05-05,Port Chester,1047,212,13
2020-05-05,Pound Ridge,37,12,0
2020-05-05,Rye Brook,176,25,3
2020-05-05,Rye City,197,29,5
2020-05-05,Scarsdale,384,42,2
2020-05-05,Sleepy Hollow,339,63,2
2020-05-05,Somers,234,76,3
2020-05-05,Tarrytown,258,49,3
2020-05-05,Tuckahoe,129,19,1
2020-05-05,White Plains,1634,312,24
2020-05-05,Yonkers,6398,1145,88
2020-05-05,Yorktown,601,121,17
2020-05-05,Totals,24996,4657,368
2020-05-06,Ardsley,81,3,0
2020-05-06,Bedford,214,28,2
2020-05-06,Briarcliff Manor,86,12,1
2020-05-06,Bronxville,63,5,0
2020-05-06,Buchanan,32,3,0
2020-05-06,Cortlandt,709,172,7
2020-05-06,Croton-on-Hudson,150,21,0
2020-05-06,Dobbs Ferry,259,36,2
2020-05-06,Eastchester,420,39,1
2020-05-06,Elmsford,184,29,0
2020-05-06,Greenburgh,1040,128,4
2020-05-06,Harrison,362,42,2
2020-05-06,Hastings-on-Hudson,114,5,0
2020-05-06,Irvington,74,10,0
2020-05-06,Larchmont,62,3,0
2020-05-06,Lewisboro,94,18,7
2020-05-06,Mamaroneck Town,155,13,0
2020-05-06,Mamaroneck Village,349,59,2
2020-05-06,Mount Kisco,229,39,3
2020-05-06,Mount Pleasant,539,51,1
2020-05-06,Mount Vernon,2454,324,23
2020-05-06,New Castle,165,21,0
2020-05-06,New Rochelle,2662,358,19
2020-05-06,North Castle,178,28,1
2020-05-06,North Salem,114,34,1
2020-05-06,Ossining Town,139,17,0
2020-05-06,Ossining Village,952,146,15
2020-05-06,Peekskill,756,170,17
2020-05-06,Pelham,162,13,2
2020-05-06,Pelham Manor,98,3,0
2020-05-06,Pleasantville,104,8,0
2020-05-06,Port Chester,1053,198,21
2020-05-06,Pound Ridge,24,1,0
2020-05-06,Rye Brook,170,17,0
2020-05-06,Rye City,176,11,0
2020-05-06,Scarsdale,356,15,1
2020-05-06,Sleepy Hollow,334,50,0
2020-05-06,Somers,207,44,5
2020-05-06,Tarrytown,253,44,3
2020-05-06,Tuckahoe,122,11,0
2020-05-06,White Plains,1573,231,12
2020-05-06,Yonkers,6220,882,36
2020-05-06,Yorktown,544,57,2
2020-05-06,Totals,24032,3399,190
2020-05-07,Ardsley,83,3,2
2020-05-07,Bedford,218,24,5
2020-05-07,Briarcliff Manor,85,11,2
2020-05-07,Bronxville,62,4,0
2020-05-07,Buchanan,33,4,1
2020-05-07,Cortlandt,698,154,13
2020-05-07,Croton-on-Hudson,150,16,4
2020-05-07,Dobbs Ferry,257,29,5
2020-05-07,Eastchester,421,37,11
2020-05-07,Elmsford,186,25,6
2020-05-07,Greenburgh,1047,111,26
2020-05-07,Harrison,359,36,5
2020-05-07,Hastings-on-Hudson,114,5,3
2020-05-07,Irvington,76,8,2
2020-05-07,Larchmont,62,3,2
2020-05-07,Lewisboro,93,18,0
2020-05-07,Mamaroneck Town,160,13,6
2020-05-07,Mamaroneck Village,354,50,13
2020-05-07,Mount Kisco,236,40,7
2020-05-07,Mount Pleasant,527,44,6
2020-05-07,Mount Vernon,2478,270,62
2020-05-07,New Castle,165,15,3
2020-05-07,New Rochelle,2686,290,86
2020-05-07,North Castle,183,27,5
2020-05-07,North Salem,106,30,7
2020-05-07,Ossining Town,140,13,5
2020-05-07,Ossining Village,949,129,17
2020-05-07,Peekskill,768,166,32
2020-05-07,Pelham,158,8,4
2020-05-07,Pelham Manor,101,1,9
2020-05-07,Pleasantville,108,8,6
2020-05-07,Port Chester,1060,185,33
2020-05-07,Pound Ridge,25,1,1
2020-05-07,Rye Brook,163,12,2
2020-05-07,Rye City,178,10,4
2020-05-07,Scarsdale,345,9,7
2020-05-07,Sleepy Hollow,338,44,10
2020-05-07,Somers,209,41,6
2020-05-07,Tarrytown,261,38,12
2020-05-07,Tuckahoe,125,8,5
2020-05-07,White Plains,1609,219,60
2020-05-07,Yonkers,6370,797,253
2020-05-07,Yorktown,547,41,12
2020-05-07,Totals,24293,2997,760
2020-05-11,Ardsley,88,5,0
2020-05-11,Bedford,224,23,1
2020-05-11,Briarcliff Manor,85,8,0
2020-05-11,Bronxville,62,4,0
2020-05-11,Buchanan,34,4,0
2020-05-11,Cortlandt,717,133,5
2020-05-11,Croton-on-Hudson,150,7,0
2020-05-11,Dobbs Ferry,292,60,0
2020-05-11,Eastchester,431,34,1
2020-05-11,Elmsford,195,28,2
2020-05-11,Greenburgh,1067,94,3
2020-05-11,Harrison,371,31,2
2020-05-11,Hastings-on-Hudson,110,3,0
2020-05-11,Irvington,77,7,0
2020-05-11,Larchmont,62,2,NA
2020-05-11,Lewisboro,93,19,1
2020-05-11,Mamaroneck Town,164,12,0
2020-05-11,Mamaroneck Village,362,44,0
2020-05-11,Mount Kisco,251,41,0
2020-05-11,Mount Pleasant,536,34,0
2020-05-11,Mount Vernon,2527,228,6
2020-05-11,New Castle,167,8,1
2020-05-11,New Rochelle,2745,233,6
2020-05-11,North Castle,185,15,0
2020-05-11,North Salem,112,27,0
2020-05-11,Ossining Town,143,9,2
2020-05-11,Ossining Village,975,115,2
2020-05-11,Peekskill,804,163,4
2020-05-11,Pelham,162,9,0
2020-05-11,Pelham Manor,102,2,NA
2020-05-11,Pleasantville,108,6,0
2020-05-11,Port Chester,1091,165,3
2020-05-11,Pound Ridge,25,1,0
2020-05-11,Rye Brook,169,14,4
2020-05-11,Rye City,184,12,3
2020-05-11,Scarsdale,345,7,1
2020-05-11,Sleepy Hollow,346,34,1
2020-05-11,Somers,220,43,1
2020-05-11,Tarrytown,267,30,0
2020-05-11,Tuckahoe,127,7,1
2020-05-11,White Plains,1659,204,8
2020-05-11,Yonkers,6484,622,16
2020-05-11,Yorktown,560,34,2
2020-05-11,Totals,24878,2581,76
2020-05-12,Ardsley,88,5,0
2020-05-12,Bedford,226,23,2
